"work_num","location","type","importance_c","log_est_cost_c","treated","post","did","token_cost","outcome_type","outcome"
"WO-00001","B105","Structural",1.1775,1.16735167298454,1,1,1,82.208,"log_overrun_ratio",0.0744775704949444
"WO-00001","B105","Structural",1.1775,1.16735167298454,1,1,1,82.208,"log_days_to_complete",3.56671182013973
"WO-00002","C742","Plumbing",1.1775,-0.581951633026298,1,0,0,0,"log_overrun_ratio",0.428294574881982
"WO-00002","C742","Plumbing",1.1775,-0.581951633026298,1,0,0,0,"log_days_to_complete",3.40119738166216
"WO-00003","B409","Structural",2.1775,0.933082848323036,1,1,1,82.2035,"log_overrun_ratio",0.0577716784240655
"WO-00003","B409","Structural",2.1775,0.933082848323036,1,1,1,82.2035,"log_days_to_complete",4.07073469658297
"WO-00004","C453","HVAC",-0.8225,0.308385346608754,0,0,0,0,"log_overrun_ratio",0.310211851009935
"WO-00004","C453","HVAC",-0.8225,0.308385346608754,0,0,0,0,"log_days_to_complete",0.641853886172395
"WO-00005","E311","Structural",0.1775,1.08345169747394,1,1,1,82.204,"log_overrun_ratio",0.107108457686402
"WO-00005","E311","Structural",0.1775,1.08345169747394,1,1,1,82.204,"log_days_to_complete",3.07269331469012
"WO-00006","E544","Plumbing",-1.8225,-0.696931853710133,0,0,0,0,"log_overrun_ratio",0.0539149520637709
"WO-00006","E544","Plumbing",-1.8225,-0.696931853710133,0,0,0,0,"log_days_to_complete",1.64865862558738
"WO-00007","E957","HVAC",0.1775,0.658812593913037,1,1,1,82.2007,"log_overrun_ratio",0.253029379611629
"WO-00007","E957","HVAC",0.1775,0.658812593913037,1,1,1,82.2007,"log_days_to_complete",2.67414864942653
"WO-00008","E563","Structural",-0.8225,0.756056674327013,1,1,1,82.2053,"log_overrun_ratio",0.183288727108255
"WO-00008","E563","Structural",-0.8225,0.756056674327013,1,1,1,82.2053,"log_days_to_complete",2.02814824729229
"WO-00009","D360","Electrical",0.1775,-0.405392928444074,0,0,0,0,"log_overrun_ratio",0.326754213294741
"WO-00009","D360","Electrical",0.1775,-0.405392928444074,0,0,0,0,"log_days_to_complete",2.9391619220656
"WO-00010","D288","Electrical",0.1775,-0.488953961573811,0,0,0,0,"log_overrun_ratio",0.286066054180388
